PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyRetx
79678,00507V10,ATVI,12499,2021-07-12,92.910000,0.005737
79678,00507V10,ATVI,12499,2021-07-13,93.250000,0.003659
79678,00507V10,ATVI,12499,2021-07-14,92.320000,-0.009973
79678,00507V10,ATVI,12499,2021-07-15,90.680000,-0.017764
79678,00507V10,ATVI,12499,2021-07-16,91.800000,0.012351
79678,00507V10,ATVI,12499,2021-07-19,90.300000,-0.016340
79678,00507V10,ATVI,12499,2021-07-20,91.510000,0.013400
79678,00507V10,ATVI,12499,2021-07-21,91.170000,-0.003715
79678,00507V10,ATVI,12499,2021-07-22,90.470000,-0.007678
79678,00507V10,ATVI,12499,2021-07-23,91.500000,0.011385
79678,00507V10,ATVI,12499,2021-07-26,90.140000,-0.014863
79678,00507V10,ATVI,12499,2021-07-27,84.050000,-0.067562
79678,00507V10,ATVI,12499,2021-07-28,84.820000,0.009161
79678,00507V10,ATVI,12499,2021-07-29,83.570000,-0.014737
79678,00507V10,ATVI,12499,2021-07-30,83.620000,0.000598
79678,00507V10,ATVI,12499,2021-08-02,82.760000,-0.010285
79678,00507V10,ATVI,12499,2021-08-03,79.830000,-0.035404
79678,00507V10,ATVI,12499,2021-08-04,81.520000,0.021170
79678,00507V10,ATVI,12499,2021-08-05,80.320000,-0.014720
79678,00507V10,ATVI,12499,2021-08-06,82.430000,0.026270
79678,00507V10,ATVI,12499,2021-08-09,81.410000,-0.012374
79678,00507V10,ATVI,12499,2021-08-10,82.990000,0.019408
79678,00507V10,ATVI,12499,2021-08-11,85.000000,0.024220
79678,00507V10,ATVI,12499,2021-08-12,85.170000,0.002000
79678,00507V10,ATVI,12499,2021-08-13,83.850000,-0.015498
79678,00507V10,ATVI,12499,2021-08-16,83.850000,0.000000
79678,00507V10,ATVI,12499,2021-08-17,83.370000,-0.005725
79678,00507V10,ATVI,12499,2021-08-18,82.830000,-0.006477
79678,00507V10,ATVI,12499,2021-08-19,83.170000,0.004105
79678,00507V10,ATVI,12499,2021-08-20,82.630000,-0.006493
79678,00507V10,ATVI,12499,2021-08-23,82.220000,-0.004962
79678,00507V10,ATVI,12499,2021-08-24,81.790000,-0.005230
79678,00507V10,ATVI,12499,2021-08-25,80.810000,-0.011982
79678,00507V10,ATVI,12499,2021-08-26,81.250000,0.005445
79678,00507V10,ATVI,12499,2021-08-27,82.430000,0.014523
